Metric,LSTM,RandomForest,XGBoost
R²,0.859424469769991,0.9640005915923937,0.9919921954587401
MAE,0.6444628438592905,0.2901583798865282,0.09772477990644637
MAPE (%),648905294270200.5,636294311591243.6,564640997570677.0
RMSE,0.8506145086450888,0.4305345713681003,0.20305658622733358
Explained Variance,0.8603033413578558,0.964051897249389,0.9920156336442507
Accuracy,0.668033455067171,0.850903221599061,0.9541052562932046
